name,id,seller,phone
Adimax,,Jamerson,
Purina,,Jaedson,
Pet Planet,,Daniel,
Nutrivale,,Felipe,
Rota Maceió,,Kelvin,
FVO,,"N sei",
S Pessoa,,Kadu,
Objetiva,,Iara,
Cedan,,Cris,
Master,,Carlos,
Qualy,,Viana,
Dapal,,Neto,
Nordescão,,Ygor,
MF Distribuidora,,Renato,
M M Distribuidora,,João,
